,,before,sentence,after,final
1,1002,"* * When that Muslim When he came to attack 26/11, he knew very well 🐖 👿 👿  👿   🐖   👿  👿  👿  that he would not be saved himself.","* 4 * When those Muslims came to attack Parliament, they knew that they would be killed.","* * Even when those Muslims were going to fight the ship at the World Trade Center, they knew that their dead bodies also would not be recognized.",oppression
2,1003,So these Muslim friends start visiting the homes of such secular friends.,His sisters or sisters-in-law begin to force him.,And how many such girls from Hindu families are spoiled or driven away.,none
3,1004,"His scattered remains were surely nurturing the perpetual pranelva of Muslims, the maximum hatred.","” Entered, broke the Shivling into pieces, and acquired as much property as he could in the solution.",That property was estimated at two crore dirhams.,culture
4,1005,There is a lot of poison in the speech of Muslim League spokespersons.,Muslims should change their instincts.,"Muslims have got their desired thing in Pakistan, they are responsible for Pakistan, because the Muslims were the leaders of the partition of the country and not the residents of Pakistan.",action
5,1006,There is cold storage for 👉  👉  keeping your own potatoes onions etc.,"They buy potato, onion, ginger etc.","at very cheap prices directly from farmers during the season. . * 👉👉 In a report published in ""Economics Times Ahmedabad"" 👉  *, the total capital of this Chelia Hotels has reached about 3000 crores at present.",none
6,1007,The traitors of the country changed the name of the SCF party and today know this SCF by the name of RPI.,The same strategy once again and the trick to divide Hindus into many parts has gone.,Many political parties across the country are playing it openly.,none
7,1008,Everything he wrote in the resignation is worth reading.,It mentions the persecution of Dalits and other similar castes in Islamic Pakistan.,"It was Jogendranath Mandal who caused many large parts of Bengal to go to Pakistan, because they had voted for Dalits in these areas in favor of Pakistan at the behest of Jinnah.",none
8,1009,"He went on to speak - he knows that the population growth rate of our people is slowly coming down and despite all the efforts / efforts, it is not possible to increase now.",While the percentage of Muslim children under the age of 2 years is about 40%.,"He asked if these children will not grow up, will not vote ??",none
9,1010,"(Muslim Dilemma in India, p. 35) (vi) Jahangir Khan of Bengal called ""Mughaliyasthan"" by joining the country of Bangladesh, Pakistan, Kashmir and Muslim-majority parts of West Bengal, Bihar, Uttar Pradesh, Rajasthan, Punjab and Haryana.",The dream of becoming an Islamic nation is cherished.,"”(Muslim Research Institute, Jahangir Nagar, Bangladesh, 2000) (vii) Professor Nasir bin Sulaiman ul Omar of Saudi Arabia says that“ India itself is crumbling.",culture
10,1011,But justice and morality have no value in the barbaric cultural tradition!,"In light of the facts, governments, so-called progressive journalists, thinkers, leftists and secularists are expected to ask the Muslim community to issue a fatwa that the Qur'an, Hadith, Serat-un-Nabi, etc.","are jointly called Shari'a , The order of enmity against non-Muslims is abrogated!",none
11,1012,"🚩  * * रिपोर्ट According to a report, every year in Pakistan, about 1000 Hindu and Christian girls (mostly minors) are converted to Muslims and 🚩  married.",* * In Pakistan only Hindu temples are also destroyed and business and other activities are being increased in their place and Hindus are also being attacked!,* * Hindu temples are broken in Pakistan.,oppression
12,1013,"Listen to the mullahs who worship superstition ... ●) What kind of God is Allah, who has nothing but imagination.",●) which nobody has seen till date; Then how to accept that it is also there.,●) There was no public name even 1400 years ago; Where was he before that.,none
13,1014,"6 months later, when 2/3 of the girls sent the news to their house, they of the family refused to take them back.","In 1948, when Hindu military brought Hindu women out and brought them to India, their family members refused to take them.","For this, some have committed suicide.",oppression
14,1015,Even a fool can understand that Pakistan always needs China to fight 'Hindus of India' ...,So Pakistan and Kashmiri Muslims take a blind eye to the atrocities on Uigars in Xinjiang ...,"Consider 57 OIC countries , Proposal against China  Pakistan has vetoed taxes on riyas ... Former Jammu and Kashmir Minister Naeem Akhtar has a clear view that the real player in Kashmir is not Pakistan, China ... Jaish-e-Mohammed is the infant organization of China in the Kashmir Valley By continuing terrorist activities, India wants to keep it stuck in this area ... India's troops could not make any alliances with America while fighting in Kashmir ...",culture
15,1016,The incident is on 7th June.,"Brothers and sisters, I have a habit of opening Navbharat Times in the mobile as soon as I wake up in the morning and as soon as I open NBT this morning, two more cases have appeared .. * District Hamirpur in Bundelkhand where 11 year old girl sleeps in the house late Friday Five gangsters are taken away ... and they commit murder after gang-raping the cemetery outside the village ... * Until the latest news, the accused are out of custody.","* # A 10-year-old girl who went to collect goods from a nearby slum area in Bhopal was kidnapped and murdered after being raped and dumped in a carcass ... And to this end, the news of the incident which I am going to tell you, has been received this afternoon .. * # 8 in the evening in a village falling in the Kuthund police station of Jalaun, playing with my age friends.",oppression
16,1017,He himself said that he was thankful to Allah that he did not get a deserving court or else people thought that Akbar's rule was run by his courtier himself.,A mention of Akbarnama makes it clear that his Hindu courtiers were often insulted.z,The Muslim courtiers used to chew the chewed paan in his mouth while praising Gwalior-born Sangeet Ramtanu Pandey alias Tansen.,none
17,1018,"But at that time we were exposed to open thinking, modernization and Liberalism.",Drugs were capped !!,".. (We had to live openly but the truth was something that we made ourselves secular and became enslaved to the Sharia law of Islam and now if any of us wants to speak anything, then its throat is punished. )",none
18,1019,"Indian Penal Code of Hindu Girls, Sharia and Macaulay (IP C.) ------------------------------------ ------ copied post.","Finally a comment from me, -------------------------------------------- In Pakistan, two Hindu girls, Raveena age 13 and Reena age 15, were picked up from their home on Holi.","Then they were ""married"" to middle-aged Muslims and told that they had converted to Islam.",none
19,1020,"🙏 Therefore, be careful and be vigilant and ensure their 🙏  safety.",* # Religion_Secretary_Secrets * * Don't let the safety of your 🙏 🚩 🇳 🏹 🕉  🐚   🔱   🇮   🙏   family and family in your hands ruin the lives of your children in pretense of totalitarianism * *,,action
20,1021,The greedy wolves of vote in India even supported this massacre to please the Muslims of India.,"Well, this was expected in a country like India.","Today, a Muslim organization called ""Jaish-e-Mohammed"" killed 42 CRPF soldiers in a suicide attack in India.",culture
21,1022,"Said Sarpanch ji, sarpanch jo.","Sarpanch ji said, ""What happened Mohan?""","Sarpanch ji, I have come to know that the Hindus have started evacuating their village 8 km from here.",none
22,1023,"Understand this well, if Allah wants to deal with them yourself.",But (he gave this order) so that you can test each other.,"And * those who are killed in the way of Allah, he will not do the work without cause.",action
23,1024,"For the last 15 years, 40 lakh Muslims have settled in Bihar, UP, Rajasthan.",70 per cent are living by Hindu names and the above mentioned things are well done.,Lakhs of Muslims have reached Punjab.,none
24,1025,"In this way, people of all religions, Christians, Jews and Muslims continue to fight for this land even today.","Islam had been established in the countries of Israel, Iran, Afghanistan, India, Africa, etc., during almost 600 years of Islamic rule.",Islam had become a major force in the world due to constant war and repression.,none
25,1026,"Apart from this, the hotels that have been targeted include The Shangrila, The Cinnamon Grand and The Kigsbury.","It is being told that the police team, including fire brigade department, has reached the spot and the injured 🚩 🚩   are being treated at the National Hospital in Colombo, besides the army has been deployed at many other places including Colombo.",http://sudarshannews.in/samachar/international/serial-bomb-blast-in-srilanka/ 🚩🚩,none
26,1027,When more than half of India's population will be Muslim.,So they will have majority and they will have every MP.,Then India will be made a law by declaring * Islamic country * as * Sharia *.,none
27,1028,* How much was the love .. * When 3 Hindu children were hanged in Fatehpur Sikri * * Because 💁 ♂   they had gone to the mosque without covering their heads * * And they could not even speak the name of the temple mosque thing.,* ♂ How much love was there .. * When the only idol of Ekling ji who was 💁 ♂   trying to establish King Naresh * * stopped him in the middle and destroyed the idol.,* * Even today 💁 ♂   the idol installed is in the Ekling ji temple in the destroyed state.,oppression
28,1029,They will then find some new excuse !!,He will not rest in peace as long as you are breathing.,"Because it is written in his book --- As long as there is a single Kafir alive, Islam is not free.",action
29,1030,Muslims * constitute * 70% of the population here.,This is the same district from where 3 Muslims went to * Syria * to be admitted to * ISIS *.,It is also the district which is not allowed to celebrate festivals of any religion other than the festival mentioned by the * Quran *.,culture
30,1031,It does not need to be given any other name.,Because this culture is the identity of India.,"But as soon as Muslim attackers came to India, they made every effort to destroy the culture of India with plunder and to make Hindus Muslims, which are going on even today.",culture
31,1032,Abu Huraira said that .... once Rasul said .....,I have always won by terror.,Tell your people ....,oppression
32,1033,It was a great sinner.,This Bible says.,"""One night the girls of Lot decided that today we will give our father plenty of alcohol.",none
33,1034,The Kashmiri army and paramilitary forces want to be removed from Kashmir because they are both non-Muslim organizations.,Their aim is to make Kashmir a Land of Pure.,"This is the last hurdle after the exodus of Kashmiri Hindus, for Kashmir to become an Islamic nation.",none
34,1035,Their history will be written under the idols.,Orissa artists are producing: Baba Basant Singh ---------------------------------------- ---------------- Baba Basant Singh told that 3 sculptors have been called from Orissa to display a live scene of atrocities.,"So far, 24 high quality fiber sculptures have been erected inside and outside the gate.",none
35,1036,The BJP candidate is getting threatened every day and many candidates have been * killed *.,"* April 2024 * In the election, the booth is being rigged by * Muslims * and the ballot boxes were looted.",25 May 2024 Election results.,oppression
36,1037,Did he not drink his own mother's milk in that village?,"Is it not for both Kajriwal and Sisodia Mulla executioners, who have kept their blood on this incident too ???","_ * _ * Friends, all you nationalist Hindus, by opening the link given above to our channel [Hindu 🤝  Publisher] Subscribe and press bɛʟʟ ɨC օռ (🔔) too!",none
37,1038,Now each of us has to do the work of Hindu leadership.,Awaken the enemy The war is on.,The war has started.,none
38,1039,But he has been so far removed from his culture and his civilization that intellectually he looks to the West for every issue.,"_ * That is why the dress of our countrymen, language, education, history, knowledge, direction of thinking, constitution, policies of the country all show you the influence of the West.",Our younger generations have become indifferent to the religion and rites of their ancient ancestors and are trying to find shelter in the Western world.,none
39,1040,"Because even the boys of poor houses are given money, car, tickets to flee, place to stay.",Nikaah is also arranged.,This cannot happen without community support.,none
40,1041,"And in the mohallah that Banner would have put there, people of a particular religion would be rioting in the presence of thousands.",The Banner builder must have been murdered.,And the majority of Hindus of this country will keep watching just like this.,oppression
41,1042,"If you do this by mistake, then… you can be prosecuted for spreading hatred.",This is the first time in our country that….,Any national party has included the principles of such Jihadi Lawfare in its manifesto.,none
42,1043,Or here is the worm of democracy.,"Sri Lanka seals mosques and madrasas, all cleric and Islamic activities have been banned; the religion of terrorists has been discovered in the country.",It seems there may be some news that in a few days big news will come to take revenge on Moses Ready now !!,culture
43,1044,"He does not do such nonsense, he has a history and religious history behind him… If a Muslim wants to understand, then know the atrocities he perpetrates on women today.","Burning alive, naked, and buying things like sheen after sheenharan, with one yazidi, day and night coddling by the muslims Muslims ... Muslims who used to do 1600 years ago, today Muslims are doing the same.",,oppression
44,1045,If every Hindu parent tells his children how Khwaja Moinuddin Chishti of Ajmer dargah had abducted Prithviraj Chauhan's wife Sanyogita to rape a Muslim soldier when he did not accept Islam!,So hardly any Hindu will visit the grave of that mullet!,Later Prithviraj Chauhan's daughters had broken Moinuddin Chishti into pieces!,none
45,1046,"When he was the sarpanch, he did not do anything wrong under the pressure of the village Muslims.",They have to bear the brunt of this.,"On the next day, he received threats to kill him.",none
46,1047,10/10 Muslims were accompanied by their women and Alhadani iron nohar was heated and red-pasted on their udder.,Many women had their udder cut.,His children were also killed and cooked and fed.,oppression
47,1048,,"* ⚜ ⛳   Sanatan Dharam Rakshak ⛳  ⚜  ⚜  ⛳  Samiti ⚜  ⛳  * * 😡  Jai of Sanatan 😡  Dharma * ⛳⚜ * 😡 superstition * 😡 * Which superstitious religions are in India * * Yes Islam is the anti-human religion of superstition * * 1) If Allah , God is equally powerful * * There is God and he hates 😡  😡  Kafiro * * And Kafiro does not have the right to live.",* * Why does 😡  😡  Kafiro mean non-Muslims born to Allah ?????,culture
48,1049,"In 2007, Akbaruddin Owaisi issued a fatwa that if Salman Rushdie and Taslima Nasreen ever come to Hyderabad, their necks should be cut.","At a rally in Kurnool in 2011, he described the Andhra Legislative Assembly as a Kafristan and a Hindu legislator.","In the same rally, he described former Prime Minister Rao as a murderer, darinda, cheater, cheater and thief and said that if Narasimha Rao had not died on his own, he would have killed him with his own hands.",none
49,1050,Today a hale-headed chieftain is advising Muslims to be one!,"You keep teaching your children that Akbar was great, but never think of yourself then what to say to that Rana Pratap, who wandered in the forests all his life, fighting with Akbar even after eating grass bread.","Tolerance teaches neither is your Hindutva accepting your slayer as your pir, keep banging heads on their graves and keep them as your God till they are finished!",culture
50,1051,Court will open the court tonight for this poor thing.,➖  Advocate: These are Muslim boys of JNU swearing that war ➖  will continue till the ruin of India.,There are no problems ➖  ⚒  for innocent people.,none
51,1052,"* 🔥  🔥- * * Examples of Muslim exorcism --- 🏻  👇 👉 🏻   😡   👇🏻 * * 😡👉🏻 * Muhammad Ghori vowed for the Qur'an 17 times that India would not attack, but attacked and deceived the brave Hindu warrior Prithviraj 🏻  👉  😡  Chauhan.",Taken captive * 😡👉🏻 * Alauddin Khilji called Rana Ratan Singh of Chittor on the 🏻  👉  😡  pretext of friendship and then killed him.,* 😡👉🏻 * Aurangzeb summoned 😡 🏻  👉   Shivaji to Agra on the pretext of friendship and then imprisoned him.,oppression
52,1053,"..... there will be no one else in India like me ... because, I am a child of a Brahmin ...","But, Maulana became Muslim by being influenced by Maulana Room and Maulana Tabrez ... in the long run Iqbal ....... became the president of the Muslim League… .and, surprisingly… Joe Iqbal wrote ""Sare Jahan Se Achchid Hidostan Hamara"" ... and, "" ""Religion does not teach .... keep hating each other"" ..... as I spoke ... in the same mood Iqbal ....... at the time of the Muslim League Khilafat Movement ... of 1930 At the Muslim League Conference in Allahabad, it was said… .. ""If Shahe Khorasan's point is, Sijda karoon karoon ko Hindustan ki neeti ground""...... Was taken off ) Please indicate ......","So, I will not even offer namaz on this ""nefarious Hindustan"" ...!",none
53,1054,"05 🚩 [05/05, 7:43 PM] Jai 🇯 🇦 🇮 🇭 🇮 🇳 🇩 🚩         🚩  Ma Durga Bhawani: [05/05, 6:22 PM] +91 99001 61698: Congress is a thought What a disgusting thought, read this 👇 👇 👇    👇 👇 👇 recognize Aghori, who is this woman?",The body showing a picture is questioning the path of Aghori.,Aghori stared and kept looking at the picture and kept looking at the void.,none
54,1055,"Janet blames the Muslims for terrorism ... As the population increases, there is a demand for a separate Sharia law at such places and then finally it reaches the demand for a separate country.","In his article, Janet has blamed Islam for this problem.",He has written that this message has been given openly in the Quran that Islamic rule should be established throughout the world.,culture
